2019_917	capensis_var_galfinii
2019_837	longituba
2019_838	Belonophora_coriacea
2020_153	pedunculosa_var_pilosula
2019_848	obstetrix 
2019_909	anomala
2019_840	Sericanthe_auriculata
2019_964	soyauxii
2020_159	revoluta
2019_839	Empogona_gossweileri
2019_836	niamniamensis
2020_365	bifida
2019_334	amplexicaulis
2019_918	capensis
2020_148	verdcourtiana
2020_149	pedunculosa
2019_910	angolensis
2019_957	niamniamensis_var_niamniamensis
2019_915	coriacea 
2019_949	okelensis
2020_151	potamogala
2020_164	trachycarpa
2019_403	cryptocalyx
2019_342	microphylla 
2019_916	capensis_var_transvaalensis
2019_391	pangolina
2020_145	pedicellata1
2019_941	jasminiflora_var_jasminiflora
2019_902	delagoensis
2019_911	acocantheroides
2019_907	kivuensis
2019_388	Sericanthe_lowryana
2020_158	pynaertii
2019_961	vanroechoudtii
2020_147	wernhamiana
2020_165	viridiflora
2019_921	niamniamensis_subsp_nodosa
2019_956	bagshawei
2020_156	reticulata
2019_341	bridsoniana
2020_364	pedicellata2
2019_912	aciculiflora
2020_166	Diplospora_dubia
2020_366	elmar_1
2020_367	elmar_2
2019_396	boiviniana
2019_389	Empogona_crepiniana
2019_390	pallens
2019_406	lasiodelphys
2019_393	dauphinensis 
2019_335	elliotii
2019_343	hensii
2019_345	biafrana
2019_408	atherura
2019_843	sylvae
2019_841	vadensis
2019_849	oligoneura
